#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 09 15 00 326  7.9  9.4 99.00 99.00 99.00 999 1020.3  11.7  11.7 999.0 99.0 99.00
2008 01 09 16 00 316  9.0 10.7  2.06 12.50  7.72 999 1020.4  11.4  11.7 999.0 99.0 99.00
2008 01 09 17 00 340  7.6  9.2  2.21 12.50  7.85 999 1020.9  11.4  11.7 999.0 99.0 99.00
2008 01 09 18 00   3  4.3  5.3  2.11 12.50  7.72 999 1021.9  11.0  11.7 999.0 99.0 99.00
2008 01 09 19 00 339  3.0  3.8  1.87 11.11  7.71 999 1022.1  11.3  11.8 999.0 99.0 99.00
2008 01 09 20 00 315  9.0 10.1  2.05 12.50  7.70 999 1021.9  11.8  12.1 999.0 99.0 99.00
2008 01 10 01 00 312 12.7 15.6  2.63 11.11  7.02 999 1020.8  12.2  12.5 999.0 99.0 99.00
2008 01 10 02 00 999 99.0 99.0  2.64 11.11  7.20 999 9999.0  12.1 999.0 999.0 99.0 99.00
2008 01 10 04 00 324 11.0 13.3 99.00 99.00 99.00 999 1020.4  12.3  12.2 999.0 99.0 99.00
2008 01 10 09 00 312 12.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 01 10 11 00 319 12.0 15.1 99.00 99.00 99.00 999 1021.0  12.0  12.6 999.0 99.0 99.00
2008 01 10 13 00 314 10.4 12.4  4.38 20.00 10.56 999 9999.0  12.1  12.5 999.0 99.0 99.00
2008 01 10 14 00 311 11.1 13.1 99.00 99.00 99.00 999 1020.9  12.0  12.5 999.0 99.0 99.00
2008 01 10 15 00 306 10.7 13.7 99.00 99.00 99.00 999 1020.9  12.1  12.5 999.0 99.0 99.00
2008 01 10 16 00 319 10.9 13.3  3.59 16.67  9.42 999 1021.1  11.8  12.5 999.0 99.0 99.00
2008 01 10 17 00 311  9.7 12.6  3.63 16.67  9.85 999 1021.8  12.1  12.5 999.0 99.0 99.00
2008 01 10 18 00 308  9.7 11.5  3.71 14.29 10.18 999 1022.3  12.4  12.5 999.0 99.0 99.00
2008 01 10 19 00 303  8.0 10.1  3.69 16.67 10.28 999 1021.9  12.7  12.6 999.0 99.0 99.00
2008 01 10 20 00 297  9.9 11.7  3.69 12.50 10.09 999 1021.0  12.5  12.6 999.0 99.0 99.00
2008 01 10 21 00 303 12.6 15.4  3.13 14.29  8.83 999 1020.2  12.6  12.6 999.0 99.0 99.00
2008 01 10 22 00 308 14.1 16.7 99.00 99.00 99.00 999 1019.7  12.5  12.6 999.0 99.0 99.00
2008 01 10 23 00 308 12.6 14.6 99.00 99.00 99.00 999 1019.5  12.6  12.8 999.0 99.0 99.00
2008 01 11 00 00 311 11.7 14.3  3.45 14.29  8.46 999 1019.4  12.6  12.8 999.0 99.0 99.00
2008 01 11 01 00 317 10.7 13.4  3.14 12.50  7.73 999 1019.3  12.6  12.8 999.0 99.0 99.00
2008 01 11 03 00 315 12.8 16.0 99.00 99.00 99.00 999 1020.3  12.1  12.6 999.0 99.0 99.00
2008 01 11 04 00 999 99.0 15.9  3.10 14.29  7.25 999 1020.2 999.0  12.6 999.0 99.0 99.00
2008 01 11 05 00 317 13.3 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 01 11 06 00 313 12.8 15.2 99.00 99.00 99.00 999 1019.9  11.8  12.6 999.0 99.0 99.00
2008 01 11 07 00 308 11.5 13.3  2.95 16.67  8.12 999 1019.7  11.8  12.6 999.0 99.0 99.00
2008 01 11 08 00 311 11.2 13.0 99.00 99.00 99.00 999 1019.7  11.8  12.6 999.0 99.0 99.00
2008 01 11 09 00 313 11.5 13.6  2.47 14.29  7.27 999 1019.7  11.7  12.5 999.0 99.0 99.00
2008 01 11 10 00 318  9.9 11.6  2.28 14.29  7.32 999 1019.0  12.0  12.5 999.0 99.0 99.00
