DeployID,FieldID,Deployed,Recovered,Max of GPS_TagRecov,Max of TDR_TagRecov,ValidTDRFiles
353,LEH2014RFBO009A,2014-05-15 04:55,2014-05-18 17:19,1,1,LEH_RFBO_009_07135_A10357_051814
354,LEH2014RFBO016A,2014-06-14 08:48,2014-06-17 08:34,1,1,LEH2014RFBO016_A10354_061614
355,LEH2014RFBO029A,2014-06-15 08:04,2014-07-19 08:40,4,1,LEH2014RFBO029A_A10318_071714
356,LEH2014RFBO021A,2014-06-14 18:00,2014-06-18 07:33,1,1,LEH2014RFBO021_A10387_061714
357,LEH2014RFBO022A,2014-06-14 18:37,2014-06-17 18:08,2,1,LEH2014RFBO022_A10350_061714
358,LEH2014RFBO026A,2014-06-14 19:01,2014-06-18 17:24,4,1,LEH2014RFBO026_A10349_061814
359,LEH2014RFBO025A,2014-06-14 19:26,2014-06-18 07:45,1,1,LEH2014RFBO025_A10347_061714
360,LEH2014RFBO023A,2014-06-14 20:41,2014-06-17 17:53,3,1,LEH2014RFBO023_A10346_061714
361,LEH2014RFBO027A,2014-06-14 21:10,2014-06-18 16:22,1,1,LEH2014RFBO027_A10345_061814
362,LEH2014RFBO028A,2014-06-15 08:50,2014-06-15 08:50,0,0,
363,LEH2014RFBO024A,2014-06-15 07:55,2014-06-17 18:16,1,1,LEH2014RFBO024_A10313_061714
364,LEH2014RFBO017A,2014-06-14 09:12,2014-06-16 18:00,1,1,LEH2014RFBO017_A10317_061614
365,LEH2014RFBO019A,2014-06-14 09:36,2014-06-17 08:10,1,1,LEH2014RFBO019_A10361_061614
366,LEH2014RFBO026B,2014-07-15 19:32,2014-07-19 07:50,1,1,LEH2014RFBO026B_A10347_071814
367,LEH2014RFBO038A,2014-07-15 19:10,2014-07-19 08:10,1,1,LEH2014RFBO038A_A10356_071814
368,LEH2014RFBO037A,2014-07-15 08:06,2014-07-19 08:17,1,1,LEH2014RFBO037A_A10319_071814
369,LEH2014RFBO036A,2014-07-15 07:40,2014-07-19 08:35,1,1,LEH2014RFBO036A_A10363_071814
370,LEH2014RFBO035A,2014-07-15 07:17,2014-07-18 07:45,1,1,LEH2014RFBO035A_A10354_071714
371,LEH2014RFBO034A,2014-07-15 06:51,2014-07-18 07:26,1,1,LEH2014RFBO034A_A10359_071714
372,LEH2014RFBO033A,2014-07-15 06:35,2014-07-19 07:51,5,1,LEH2014RFBO033A_A10340_071814
373,LEH2014RFBO032A,2014-07-15 05:59,2014-07-19 06:57,1,1,LEH2014RFBO032A_A10355_071814
374,LEH2014RFBO031A,2014-07-15 05:37,2014-07-19 07:20,1,1,LEH2014RFBO031A_A10313_071814
375,LEH2014RFBO042A,2014-07-15 06:04,2014-07-18 07:22,1,1,LEH2014RFBO042A_A10348_071714
376,LEH2014RFBO005B,2014-07-15 06:22,2014-07-19 06:54,1,1,LEH2014RFBO005B_A10367_071814
377,LEH2014RFBO043A,2014-07-15 06:44,2014-07-19 07:20,1,1,LEH2014RFBO043A_A10387_071814
378,LEH2014RFBO021B,2014-07-15 07:23,2014-07-18 07:57,1,1,LEH2014RFBO021B_A10344_071714
379,LEH2014RFBO044A,2014-07-15 07:42,2014-07-18 08:18,3,1,LEH2014RFBO044A_A10317_071714
380,LEH2014RFBO045A,2014-07-15 08:11,2014-07-20 16:13,1,1,LEH2014RFBO045A_A10362_072014
381,LEH2014RFBO025B,2014-07-15 08:41,2014-07-18 08:43,1,1,LEH2014RFBO025B_A10353_071714
382,LEH2014RFBO046A,2014-07-15 18:28,2014-07-19 09:06,1,5,
383,LEH2014RFBO047A,2014-07-15 19:09,2014-07-20 07:13,1,1,LEH2014RFBO047A_A10350_071914
384,LEH2014RFBO048A,2014-07-16 17:20,2014-07-20 07:10,1,1,LEH2014RFBO048A_A10323_071914
385,LEH2014BRBO006A,2014-05-17 04:34,2014-05-17 04:34,0,0,
386,LEH2014RFBO014A,2014-06-14 08:14,2014-06-17 07:41,1,1,LEH2014RFBO014_A10314_061614
387,LEH2014RFBO012A,2014-06-14 07:43,2014-06-17 07:20,1,1,LEH2014RFBO012_A10371_061614
388,LEH2014BRBO007A,2014-05-16 18:50,2014-05-19 03:52,1,1,LEH_BRBO_007_24337_A10356_051814
389,LEH2014BRBO004A,2014-05-16 04:17,2014-05-18 05:15,1,1,LEH_BRBO_004_24338_A10355_051714
390,LEH2014BRBO003A,2014-05-16 03:30,2014-05-18 04:45,3,1,LEH_BRBO_003_24339_A10323_051714
391,LEH2014BRBO002A,2014-05-16 03:05,2014-05-18 05:35,1,1,LEH_BRBO_002_24340_A10317_051714
392,LEH2014BRBO001A,2014-05-16 02:02,2014-05-18 05:07,1,1,LEH_BRBO_001_24341_A10322_051714
393,LEH2014RFBO003A,2014-05-14 06:05,2014-05-18 17:24,3,1,LEH_RFBO_003_24342_A10364_051814
394,LEH2014BRBO018A,2014-06-15 04:28,2014-06-15 04:28,0,0,
395,LEH2014BRBO016A,2014-06-15 03:50,2014-06-15 03:50,0,0,
396,LEH2014BRBO014A,2014-06-15 03:02,2014-06-17 04:05,1,1,LEH2014BRBO014_A10340_061614
397,LEH2014BRBO012A,2014-06-15 02:26,2014-06-18 17:43,1,1,LEH2014BRBO012_A10341_061814
